Crop_ID,Crop_Name,Variety,Season,NPK_Ratio,FYM_kg,Vermicompost_kg,Neem_Cake_kg,Growth_Duration_Days,Soil_Type,Region,Yield_Potential_Tonnes_per_ha,pH_Range,Irrigation_Interval_Days
AG001,Ragi,GPU 28,Kharif,3:1:1,75,45,25,115,Sandy loam,Karnataka,2.8,6.5-7.5,8
AG002,Ragi,PR 202,Kharif,3:1:1,82,52,32,118,Loamy,Punjab,2.6,6.0-7.0,9
AG003,Ragi,CO 15,Both,3:1:1,68,42,22,112,Red soil,Tamil Nadu,3.2,6.5-7.5,7
AG004,Paddy,ADT 43,Kuruvai,4:1:1,85,55,35,110,Clay,Tamil Nadu,5.5,5.5-7.0,1
AG005,Paddy,ADT 45,Samba,4:1:1,88,58,38,135,Alluvial,Kerala,5.8,5.5-6.5,1
AG006,Cotton,MCU 5,Kharif,2:1:1,72,47,27,155,Black soil,Gujarat,2.2,6.5-8.0,12
AG007,Cotton,MCU 13,Kharif,2:1:1,78,53,33,165,Deep black,Maharashtra,2.4,6.5-7.5,10
AG008,Sugarcane,CO 86032,Annual,5:2:2,95,65,45,365,Alluvial,UP,95,6.5-7.5,7
AG009,Sugarcane,CO 0238,Annual,5:2:2,92,62,42,355,Clay loam,Maharashtra,90,6.0-7.5,8
AG010,Turmeric,Salem,Kharif,3:1:2.4,85,55,35,240,Red soil,Tamil Nadu,25,6.0-7.0,7
AG011,Turmeric,Erode Local,Kharif,3:1:2.4,88,58,38,245,Clay loam,Tamil Nadu,28,6.0-7.0,8
AG012,Turmeric,BSR 2,Both,3:1:2.4,82,52,32,235,Sandy loam,Kerala,24,6.5-7.5,7
AG013,Maize,CO 6,Kharif,2:1:1,70,45,25,98,Red soil,Tamil Nadu,8.5,6.0-7.0,8
AG014,Maize,COH(M) 8,Rabi,2:1:1,75,50,30,102,Black soil,Karnataka,9.0,6.5-7.5,7
AG015,Groundnut,TMV 7,Kharif,1:2:3,65,40,25,108,Sandy loam,Tamil Nadu,2.8,6.0-7.0,10
AG016,Groundnut,VRI 2,Rabi,1:2:3,68,43,28,112,Red soil,Andhra Pradesh,2.6,6.5-7.5,9
AG017,Banana,Grand Naine,Annual,2:1:3,90,60,40,365,Rich loam,Kerala,45,6.0-7.5,3
AG018,Banana,Robusta,Annual,2:1:3,85,55,35,360,Sandy loam,Maharashtra,42,6.5-7.0,4
AG019,Tomato,PKM 1,Kharif,5:2.5:2,85,55,35,95,Well-drained,Karnataka,35,6.0-7.0,3
AG020,Tomato,CO 3,Rabi,5:2.5:2,82,52,32,90,Red soil,Tamil Nadu,38,6.5-7.5,4
AG021,Chilli,K 2,Kharif,3:1:1,75,50,30,155,Black soil,Andhra Pradesh,2.8,6.0-7.0,5
AG022,Chilli,CO 4,Both,3:1:1,72,47,27,150,Red soil,Tamil Nadu,2.5,6.5-7.5,6
AG023,Onion,CO 4,Rabi,3:1:1,70,45,25,92,Sandy loam,Maharashtra,15,6.0-7.0,4
AG024,Onion,Aggregatum,Kharif,3:1:1,68,43,23,88,Red soil,Tamil Nadu,14,6.5-7.5,5
AG025,Coconut,ECT,Annual,5:3:12,100,70,50,365,Sandy loam,Kerala,150,6.0-7.5,7
AG026,Coconut,WCT,Annual,5:3:12,95,65,45,365,Coastal sandy,Tamil Nadu,140,6.5-7.0,8
AG027,Pineapple,Kew,Annual,14:3:10,90,60,40,365,Well-drained,Kerala,35,5.5-6.5,7
AG028,Pineapple,Queen,Annual,14:3:10,85,55,35,360,Loamy,Northeast,32,5.0-6.0,8
AG029,Sapota,Cricket Ball,Annual,2:1:1,80,50,30,365,Sandy loam,Gujarat,15,6.5-7.5,10
AG030,Sapota,PKM 1,Annual,2:1:1,75,45,25,365,Red soil,Tamil Nadu,18,6.0-7.0,9
AG031,Ragi,ML 365,Kharif,3:1:1,72,48,28,120,Red soil,Karnataka,3.0,6.0-7.0,8
AG032,Ragi,KMR 301,Both,3:1:1,78,51,31,116,Clay loam,Kerala,2.9,6.5-7.5,7
AG033,Ragi,Indaf 8,Rabi,3:1:1,70,44,24,114,Sandy loam,Tamil Nadu,2.7,6.0-7.0,9
AG034,Paddy,CR 1009,Samba,4:1:1,90,60,40,140,Clay,West Bengal,6.0,5.5-6.5,1
AG035,Paddy,BPT 5204,Rabi,4:1:1,85,57,37,135,Alluvial,Andhra Pradesh,5.7,5.0-6.0,1
AG036,Paddy,ADT 49,Kuruvai,4:1:1,82,54,34,115,Clay loam,Tamil Nadu,5.5,5.5-6.5,1
AG037,Cotton,LRA 5166,Kharif,2:1:1,75,50,30,160,Black soil,Maharashtra,2.3,6.5-7.5,11
AG038,Cotton,SVPR 2,Both,2:1:1,78,52,32,165,Deep black,Gujarat,2.5,6.0-7.0,10
AG039,Cotton,KC 3,Kharif,2:1:1,72,48,28,155,Red soil,Karnataka,2.1,6.5-7.5,12
AG040,Sugarcane,CO 62175,Annual,5:2:2,98,68,48,370,Alluvial,Bihar,92,6.0-7.0,7
AG041,Sugarcane,CO M 0265,Annual,5:2:2,94,64,44,360,Clay loam,UP,88,6.5-7.5,8
AG042,Sugarcane,CO 8371,Annual,5:2:2,96,66,46,365,Sandy loam,Maharashtra,95,6.0-7.0,7
AG043,Turmeric,Roma,Kharif,3:1:2.4,86,56,36,242,Red soil,Andhra Pradesh,26,6.5-7.5,8
AG044,Turmeric,Alleppey,Both,3:1:2.4,84,54,34,238,Clay loam,Kerala,27,6.0-7.0,7
AG045,Turmeric,PTS 10,Kharif,3:1:2.4,88,58,38,245,Sandy loam,Tamil Nadu,29,6.5-7.5,8
AG046,Maize,DHM 117,Rabi,2:1:1,73,48,28,100,Black soil,Maharashtra,8.8,6.0-7.0,8
AG047,Maize,PMH 1,Kharif,2:1:1,76,51,31,105,Red soil,Punjab,9.2,6.5-7.5,7
AG048,Maize,HM 4,Both,2:1:1,71,46,26,95,Sandy loam,Haryana,8.6,6.0-7.0,8
AG049,Groundnut,TAG 24,Kharif,1:2:3,67,42,27,110,Sandy loam,Gujarat,2.7,6.5-7.5,9
AG050,Groundnut,JL 24,Rabi,1:2:3,70,45,30,115,Red soil,Maharashtra,2.9,6.0-7.0,10
AG051,Banana,Nendran,Annual,2:1:3,88,58,38,370,Rich loam,Kerala,40,6.5-7.5,3
AG052,Banana,Red Banana,Annual,2:1:3,92,62,42,375,Sandy loam,Tamil Nadu,43,6.0-7.0,4
AG053,Banana,Poovan,Annual,2:1:3,86,56,36,365,Clay loam,Karnataka,38,6.5-7.5,3
AG054,Tomato,Arka Vikas,Kharif,5:2.5:2,83,53,33,92,Well-drained,Karnataka,36,6.0-7.0,4
AG055,Tomato,Pusa Ruby,Rabi,5:2.5:2,86,56,36,98,Red soil,Maharashtra,39,6.5-7.5,3
AG056,Chilli,G4,Both,3:1:1,74,49,29,152,Black soil,Karnataka,2.6,6.0-7.0,5
AG057,Chilli,Pusa Jwala,Kharif,3:1:1,76,51,31,158,Red soil,Andhra Pradesh,2.9,6.5-7.5,6
AG058,Onion,Arka Kalyan,Rabi,3:1:1,71,46,26,95,Sandy loam,Karnataka,16,6.0-7.0,4
AG059,Onion,N 53,Kharif,3:1:1,69,44,24,90,Red soil,Maharashtra,13,6.5-7.5,5
AG060,Coconut,TxD Hybrid,Annual,5:3:12,98,68,48,365,Coastal sandy,Kerala,155,6.0-7.0,7
AG061,Ragi,HR 374,Kharif,3:1:1,74,49,29,118,Sandy loam,Haryana,2.9,6.5-7.5,8
AG062,Ragi,VL 149,Rabi,3:1:1,71,46,26,114,Red soil,Uttarakhand,2.7,6.0-7.0,9
AG063,Paddy,IR 64,Both,4:1:1,87,57,37,125,Clay,Punjab,5.8,5.5-6.5,1
AG064,Paddy,Swarna,Kharif,4:1:1,89,59,39,135,Alluvial,West Bengal,6.1,5.0-6.0,1
AG065,Cotton,Suraj,Kharif,2:1:1,76,51,31,162,Black soil,Gujarat,2.4,6.5-7.5,11
AG066,Cotton,Suvin,Both,2:1:1,79,54,34,168,Deep black,Tamil Nadu,2.6,6.0-7.0,10
